                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1098,                 2.8533,                 1.8123,                0.33514,                0.48387,                0.34855,                0.11304,                 2.1159,                 1.8465,                 1.8864,                  4e-05,                  4e-05,                  4e-05
                      2,                 1.8505,                 1.6267,                 1.5735,                0.87133,                0.75806,                0.83765,                0.35879,                 1.7626,                 1.3018,                 1.5204,              9.901e-05,              9.901e-05,              9.901e-05
                      3,                 1.7073,                 1.1341,                 1.3566,                 0.9147,                 0.8871,                0.93854,                0.49041,                 1.6649,                 1.1442,                  1.404,             0.00015683,             0.00015683,             0.00015683
                      4,                 1.5456,                0.84566,                 1.2886,                0.93746,                0.96774,                0.95996,                0.49115,                 1.6431,                 1.2176,                 1.3905,             0.00021347,             0.00021347,             0.00021347
                      5,                 1.5625,                0.79813,                  1.336,                 0.7731,                 0.8871,                0.77654,                0.41733,                 1.5724,                 1.0583,                 1.3572,             0.00026891,             0.00026891,             0.00026891
                      6,                 1.4721,                0.79651,                 1.2697,                0.95083,                0.93567,                0.98059,                0.54323,                 1.4982,                 1.2687,                 1.3102,             0.00032317,             0.00032317,             0.00032317
                      7,                 1.4937,                0.76489,                 1.2463,                0.95054,                0.92996,                0.97059,                0.55854,                 1.4752,                 1.1865,                 1.2983,             0.00037624,             0.00037624,             0.00037624
                      8,                 1.4629,                 0.6985,                 1.2183,                 0.9959,                0.96774,                0.98369,                0.56922,                 1.4339,                 1.1396,                 1.2553,             0.00042812,             0.00042812,             0.00042812
                      9,                  1.484,                0.72995,                 1.2907,                 0.8549,                0.95032,                0.91367,                0.47008,                 1.6949,                 1.8533,                 1.4324,             0.00047882,             0.00047882,             0.00047882
                     10,                 1.5307,                0.72504,                  1.263,                0.83845,                0.85484,                0.85045,                 0.4582,                 1.6077,                 2.1221,                 1.3949,             0.00052832,             0.00052832,             0.00052832
                     11,                 1.4283,                0.69417,                 1.2494,                0.71538,                0.64869,                0.65345,                 0.2842,                 1.6838,                  1.932,                 1.5166,             0.00057664,             0.00057664,             0.00057664
                     12,                 1.4491,                0.75976,                 1.2287,                 0.8796,                0.87097,                0.87148,                0.43829,                 1.5542,                 1.1873,                 1.3019,             0.00062377,             0.00062377,             0.00062377
                     13,                 1.4366,                0.72163,                 1.2377,                0.58927,                0.87937,                 0.6613,                0.34729,                 1.5442,                 2.2732,                 1.3392,             0.00066971,             0.00066971,             0.00066971
                     14,                 1.3098,                0.65973,                 1.1795,                0.61749,                0.80645,                0.60348,                0.31156,                 1.6037,                 2.1748,                 1.3267,             0.00071447,             0.00071447,             0.00071447
                     15,                 1.4541,                 0.6929,                 1.1987,                0.76445,                0.78522,                0.84066,                0.40303,                 1.7484,                 1.3985,                 1.4459,             0.00075803,             0.00075803,             0.00075803
                     16,                 1.4048,                0.68868,                 1.1675,                0.78438,                0.72581,                0.75784,                0.39614,                 1.6807,                 1.2405,                 1.3723,             0.00080041,             0.00080041,             0.00080041
                     17,                 1.3861,                0.68633,                 1.1443,                0.80899,                0.75806,                0.81607,                0.37805,                 1.5974,                 1.4217,                 1.3128,              0.0008416,              0.0008416,              0.0008416
                     18,                 1.3341,                0.65293,                 1.1188,                0.75116,                0.74194,                0.70515,                 0.3193,                 1.7118,                 1.6838,                 1.4177,              0.0008816,              0.0008816,              0.0008816
                     19,                 1.2878,                0.64805,                 1.1027,                0.61587,                0.69825,                0.57919,                0.25358,                 1.8489,                 1.7139,                 1.5353,             0.00092042,             0.00092042,             0.00092042
                     20,                 1.3835,                0.71239,                 1.1833,                0.67605,                0.67742,                0.66086,                0.31257,                 1.7624,                 1.6293,                 1.4579,             0.00095804,             0.00095804,             0.00095804
                     21,                 1.3351,                0.65611,                 1.1373,                0.80193,                0.70968,                0.79508,                 0.3973,                 1.7609,                 1.3793,                 1.5152,             0.00099448,             0.00099448,             0.00099448
                     22,                 1.2584,                0.61974,                 1.1182,                0.85353,                  0.752,                0.79416,                0.40204,                 1.7887,                  1.126,                 1.5121,              0.0010297,              0.0010297,              0.0010297
                     23,                 1.2975,                0.65028,                 1.1713,                0.86409,                0.79032,                0.87415,                0.49928,                  1.519,                 1.0159,                 1.2767,              0.0010638,              0.0010638,              0.0010638
                     24,                 1.2531,                0.63302,                 1.1417,                0.80254,                0.80645,                0.85622,                0.48788,                 1.5451,                 1.4497,                  1.305,              0.0010967,              0.0010967,              0.0010967
                     25,                 1.2809,                0.63066,                 1.1152,                0.44452,                0.51613,                0.52788,                0.30163,                 1.5287,                 3.2445,                 1.3112,              0.0011284,              0.0011284,              0.0011284
                     26,                 1.2609,                0.63166,                 1.1391,                 0.5378,                0.75073,                0.68354,                 0.3853,                 1.5793,                 1.7224,                 1.3599,              0.0011588,              0.0011588,              0.0011588
                     27,                 1.2406,                0.66496,                 1.0941,                0.79919,                0.77419,                0.82696,                0.47958,                 1.6024,                 1.6067,                 1.3632,              0.0011882,              0.0011882,              0.0011882
                     28,                 1.2792,                0.64705,                 1.1131,                0.86539,                0.80645,                0.88398,                0.48256,                 1.4978,                 1.6078,                 1.3299,              0.0012163,              0.0012163,              0.0012163
                     29,                 1.2974,                0.66068,                 1.1562,                0.86539,                0.80645,                0.88398,                0.48256,                 1.4978,                 1.6078,                 1.3299,              0.0012432,              0.0012432,              0.0012432
                     30,                 1.2838,                0.64693,                 1.1473,                0.96439,                0.87367,                0.94536,                0.49755,                 1.5914,                 1.4821,                  1.443,               0.001269,               0.001269,               0.001269
                     31,                 1.3234,                0.66902,                   1.16,                0.96816,                0.82258,                0.93802,                   0.52,                 1.4833,                 1.0939,                   1.32,              0.0012935,              0.0012935,              0.0012935
                     32,                 1.2612,                0.66901,                 1.0992,                0.93605,                 0.8871,                0.93867,                0.48666,                 1.5502,                 1.0051,                 1.3599,              0.0013169,              0.0013169,              0.0013169
                     33,                 1.3616,                 0.6627,                 1.1916,                0.93605,                 0.8871,                0.93867,                0.48666,                 1.5502,                 1.0051,                 1.3599,              0.0013391,              0.0013391,              0.0013391
                     34,                  1.247,                0.63766,                 1.1053,                0.94926,                0.90519,                0.92043,                0.53579,                 1.3655,                0.99441,                 1.2267,              0.0013466,              0.0013466,              0.0013466
                     35,                 1.2322,                 0.6175,                 1.0811,                0.91044,                0.90323,                0.94518,                0.56232,                 1.3505,                 1.0994,                 1.2181,              0.0013466,              0.0013466,              0.0013466
                     36,                 1.2099,                0.64623,                   1.12,                0.88571,                 0.8871,                0.92228,                 0.5755,                 1.3498,                0.97748,                 1.2298,              0.0013268,              0.0013268,              0.0013268
                     37,                 1.1427,                0.57496,                 1.0833,                0.88571,                 0.8871,                0.92228,                 0.5755,                 1.3498,                0.97748,                 1.2298,               0.001307,               0.001307,               0.001307
                     38,                 1.2093,                0.61989,                 1.1066,                0.91857,                0.90973,                 0.9193,                0.53583,                  1.463,                0.83309,                 1.3402,              0.0012872,              0.0012872,              0.0012872
                     39,                  1.236,                0.61762,                 1.1366,                0.98297,                0.93119,                0.95269,                0.57377,                 1.4164,                0.70491,                 1.2715,              0.0012674,              0.0012674,              0.0012674
                     40,                  1.227,                 0.5979,                 1.1397,                0.96447,                 0.8758,                0.92462,                0.56813,                 1.3536,                0.75346,                 1.2299,              0.0012476,              0.0012476,              0.0012476
                     41,                 1.2576,                0.62824,                 1.1174,                0.96447,                 0.8758,                0.92462,                0.56813,                 1.3536,                0.75346,                 1.2299,              0.0012278,              0.0012278,              0.0012278
                     42,                 1.1949,                0.61787,                 1.1367,                0.89825,                0.87097,                0.93094,                0.56086,                 1.3863,                0.73229,                 1.2327,               0.001208,               0.001208,               0.001208
                     43,                 1.3016,                0.66794,                 1.1055,                0.95887,                0.79032,                0.92871,                0.52718,                 1.4476,                0.74064,                 1.2284,              0.0011882,              0.0011882,              0.0011882
                     44,                 1.2418,                0.60539,                 1.1126,                0.90119,                 0.8871,                0.90384,                 0.5332,                 1.4244,                0.83056,                 1.1994,              0.0011684,              0.0011684,              0.0011684
                     45,                 1.2398,                0.59984,                 1.1023,                0.90119,                 0.8871,                0.90384,                 0.5332,                 1.4244,                0.83056,                 1.1994,              0.0011486,              0.0011486,              0.0011486
                     46,                 1.1886,                0.58405,                 1.1197,                0.94314,                0.90323,                0.94169,                0.56895,                 1.3974,                 0.7643,                 1.1944,              0.0011288,              0.0011288,              0.0011288
                     47,                  1.197,                  0.585,                 1.1141,                0.86177,                0.87097,                0.91783,                0.54616,                  1.368,                0.87389,                  1.199,               0.001109,               0.001109,               0.001109
                     48,                 1.2039,                0.58171,                 1.1142,                0.86322,                 0.8871,                0.93083,                0.60661,                 1.2489,                0.80819,                 1.1368,              0.0010892,              0.0010892,              0.0010892
                     49,                 1.1575,                0.55846,                 1.0826,                0.86322,                 0.8871,                0.93083,                0.60661,                 1.2489,                0.80819,                 1.1368,              0.0010694,              0.0010694,              0.0010694
                     50,                 1.1351,                0.55109,                 1.0452,                0.91953,                0.95161,                0.95528,                0.59004,                 1.2957,                0.77518,                 1.1529,              0.0010496,              0.0010496,              0.0010496
                     51,                 1.1973,                0.56193,                 1.1344,                0.89841,                 0.8871,                0.95005,                0.60928,                 1.2636,                0.74882,                 1.1294,              0.0010298,              0.0010298,              0.0010298
                     52,                 1.1223,                0.55488,                 1.0852,                0.84319,                0.95405,                0.96032,                0.62476,                 1.2383,                0.71001,                 1.1242,                0.00101,                0.00101,                0.00101
                     53,                 1.1172,                0.54371,                 1.0617,                0.84319,                0.95405,                0.96032,                0.62476,                 1.2383,                0.71001,                 1.1242,              0.0009902,              0.0009902,              0.0009902
                     54,                 1.0964,                0.55893,                 1.0665,                0.95112,                0.94161,                0.97651,                0.64952,                 1.2041,                0.64558,                 1.1301,              0.0009704,              0.0009704,              0.0009704
                     55,                 1.1929,                0.59187,                 1.0881,                0.95694,                0.91935,                0.97133,                0.64385,                 1.1562,                0.63401,                 1.0879,              0.0009506,              0.0009506,              0.0009506
                     56,                 1.0974,                0.55382,                 1.0351,                0.93591,                0.94214,                0.97343,                0.63195,                 1.2171,                0.60971,                 1.1188,              0.0009308,              0.0009308,              0.0009308
                     57,                 1.1072,                0.52684,                 1.0658,                0.93591,                0.94214,                0.97343,                0.63195,                 1.2171,                0.60971,                 1.1188,               0.000911,               0.000911,               0.000911
                     58,                  1.072,                0.52897,                 1.0424,                0.95225,                0.96498,                0.97012,                0.63563,                 1.2637,                0.57317,                 1.1658,              0.0008912,              0.0008912,              0.0008912
                     59,                 1.1105,                0.53388,                 1.0578,                0.95183,                0.95627,                0.97052,                0.64601,                 1.2231,                0.53699,                 1.1485,              0.0008714,              0.0008714,              0.0008714
                     60,                 1.0569,                0.49316,                  1.036,                0.99413,                0.93548,                0.98055,                0.68388,                 1.1315,                0.51101,                 1.0979,              0.0008516,              0.0008516,              0.0008516
                     61,                 1.0637,                 0.5037,                 1.0237,                0.99413,                0.93548,                0.98055,                0.68388,                 1.1315,                0.51101,                 1.0979,              0.0008318,              0.0008318,              0.0008318
                     62,                 1.0731,                0.50049,                 1.0487,                0.94909,                0.95161,                0.96885,                0.69883,                 1.0918,                 0.4807,                 1.0568,               0.000812,               0.000812,               0.000812
                     63,                 1.0756,                0.51085,                 1.0616,                0.97883,                0.96774,                0.98033,                0.69567,                 1.1281,                 0.4824,                 1.0605,              0.0007922,              0.0007922,              0.0007922
                     64,                 1.0959,                0.53707,                 1.0251,                0.97816,                0.98387,                0.98497,                0.65013,                 1.2837,                0.52963,                 1.1545,              0.0007724,              0.0007724,              0.0007724
                     65,                 1.1383,                0.53716,                 1.0352,                0.97816,                0.98387,                0.98497,                0.65013,                 1.2837,                0.52963,                 1.1545,              0.0007526,              0.0007526,              0.0007526
                     66,                 1.0645,                0.53079,                 1.0337,                 0.9809,                0.98387,                 0.9845,                0.66732,                 1.2325,                 0.5163,                 1.1407,              0.0007328,              0.0007328,              0.0007328
                     67,                 1.1138,                0.53531,                 1.0566,                0.99404,                0.98387,                0.98585,                0.70402,                 1.0722,                0.47406,                 1.0501,               0.000713,               0.000713,               0.000713
                     68,                 1.0581,                0.52446,                 1.0398,                0.99569,                0.98387,                0.98587,                0.71895,                  1.021,                0.44882,                 1.0195,              0.0006932,              0.0006932,              0.0006932
                     69,                 1.1019,                0.53548,                 1.0321,                0.99569,                0.98387,                0.98587,                0.71895,                  1.021,                0.44882,                 1.0195,              0.0006734,              0.0006734,              0.0006734
                     70,                  1.052,                0.50688,                 1.0215,                0.98019,                0.98387,                0.98485,                0.70963,                 1.0373,                0.45828,                 1.0164,              0.0006536,              0.0006536,              0.0006536
                     71,                 1.0214,                0.50214,                 1.0146,                0.98167,                0.98387,                0.98341,                0.72433,                0.99432,                0.46001,                0.99998,              0.0006338,              0.0006338,              0.0006338
                     72,                0.95235,                0.47523,                 1.0061,                 0.9818,                0.98387,                0.98295,                0.74857,                0.95515,                0.43262,                0.98824,               0.000614,               0.000614,               0.000614
                     73,                0.99822,                0.47486,                0.99111,                 0.9818,                0.98387,                0.98295,                0.74857,                0.95515,                0.43262,                0.98824,              0.0005942,              0.0005942,              0.0005942
                     74,                 1.0523,                0.49251,                 1.0198,                0.98182,                0.98387,                0.98296,                0.73266,                 1.0203,                0.44264,                 1.0181,              0.0005744,              0.0005744,              0.0005744
                     75,                 1.0477,                0.49609,                 1.0254,                0.98153,                0.98387,                 0.9851,                 0.7321,                 1.0179,                0.44601,                 1.0082,              0.0005546,              0.0005546,              0.0005546
                     76,                0.98595,                0.47997,                 1.0031,                0.98155,                0.96774,                0.96794,                0.74909,                0.95094,                0.43019,                0.97299,              0.0005348,              0.0005348,              0.0005348
                     77,                0.89974,                0.44969,                0.98523,                0.98155,                0.96774,                0.96794,                0.74909,                0.95094,                0.43019,                0.97299,               0.000515,               0.000515,               0.000515
                     78,                0.92841,                0.45333,                0.99106,                0.98347,                0.96774,                0.97095,                0.75968,                0.94186,                0.41961,                0.96385,              0.0004952,              0.0004952,              0.0004952
                     79,                0.97618,                0.45866,                0.99492,                 0.9735,                0.96774,                0.97134,                0.74988,                0.95636,                0.41765,                0.97067,              0.0004754,              0.0004754,              0.0004754
                     80,                0.92281,                0.44412,                0.96486,                0.96953,                0.96774,                0.97257,                0.71327,                  1.032,                0.43573,                  1.003,              0.0004556,              0.0004556,              0.0004556
                     81,                0.90657,                0.44469,                0.97935,                0.96953,                0.96774,                0.97257,                0.71327,                  1.032,                0.43573,                  1.003,              0.0004358,              0.0004358,              0.0004358
                     82,                0.90919,                0.44856,                 0.9567,                0.97777,                0.96774,                0.97449,                0.69524,                 1.0895,                0.45074,                 1.0322,               0.000416,               0.000416,               0.000416
                     83,                0.92711,                 0.4743,                0.98356,                 0.9929,                0.98387,                 0.9864,                0.70759,                 1.0453,                0.43466,                 1.0077,              0.0003962,              0.0003962,              0.0003962
                     84,                0.89161,                0.45029,                  0.958,                  0.995,                0.98387,                0.98641,                 0.7303,                0.95011,                0.40473,                0.96474,              0.0003764,              0.0003764,              0.0003764
                     85,                0.85955,                0.42439,                0.95052,                  0.995,                0.98387,                0.98641,                 0.7303,                0.95011,                0.40473,                0.96474,              0.0003566,              0.0003566,              0.0003566
                     86,                0.84356,                0.42988,                0.97831,                0.99731,                0.98387,                0.98652,                0.75155,                0.91408,                   0.39,                0.95247,              0.0003368,              0.0003368,              0.0003368
                     87,                0.80296,                0.40816,                 0.9507,                0.98209,                0.96774,                0.97356,                 0.7679,                0.89748,                0.38143,                0.94748,               0.000317,               0.000317,               0.000317
                     88,                0.81454,                 0.4106,                0.94401,                0.98205,                0.96774,                0.96989,                0.77502,                0.88996,                0.36991,                0.94487,              0.0002972,              0.0002972,              0.0002972
                     89,                 0.7646,                0.39119,                0.92529,                0.98205,                0.96774,                0.96989,                0.77502,                0.88996,                0.36991,                0.94487,              0.0002774,              0.0002774,              0.0002774
                     90,                0.80591,                0.39788,                0.94293,                0.98259,                0.96774,                0.97037,                0.77046,                0.89268,                0.37437,                0.94473,              0.0002576,              0.0002576,              0.0002576
                     91,                0.86716,                 0.4351,                 0.9571,                0.98262,                0.96774,                0.97052,                0.77804,                0.87607,                0.36706,                0.93743,              0.0002378,              0.0002378,              0.0002378
                     92,                0.81737,                0.43062,                0.91727,                0.98249,                0.96774,                 0.9825,                0.78643,                0.84652,                0.35535,                0.92924,               0.000218,               0.000218,               0.000218
                     93,                0.78377,                0.39424,                0.92512,                0.98249,                0.96774,                 0.9825,                0.78643,                0.84652,                0.35535,                0.92924,              0.0001982,              0.0001982,              0.0001982
                     94,                0.81631,                0.40752,                0.94299,                0.98212,                0.96774,                0.98268,                0.79146,                0.82407,                0.35177,                0.92508,              0.0001784,              0.0001784,              0.0001784
                     95,                0.82302,                0.39442,                0.94954,                0.98197,                0.96774,                 0.9819,                0.79413,                0.81737,                0.35012,                0.92472,              0.0001586,              0.0001586,              0.0001586
                     96,                0.81264,                0.39316,                0.94998,                0.98196,                0.96774,                0.98189,                0.79516,                0.81017,                  0.351,                0.92234,              0.0001388,              0.0001388,              0.0001388
                     97,                0.79155,                 0.3879,                 0.9044,                0.98196,                0.96774,                0.98189,                0.79516,                0.81017,                  0.351,                0.92234,               0.000119,               0.000119,               0.000119
                     98,                0.77786,                0.38761,                0.92059,                0.98196,                0.96774,                0.98225,                0.79754,                0.80675,                0.35183,                0.92149,               9.92e-05,               9.92e-05,               9.92e-05
                     99,                0.80157,                0.40694,                0.92979,                0.98202,                0.96774,                0.98151,                0.79282,                0.80256,                0.35016,                0.91967,               7.94e-05,               7.94e-05,               7.94e-05
                    100,                0.79083,                0.38795,                0.91709,                0.98209,                0.96774,                0.98098,                0.79101,                0.79597,                0.34664,                0.91649,               5.96e-05,               5.96e-05,               5.96e-05
